2017-12-13 11:15:52 194.114.62.126 Request for          index.php Successfull - 'sessionKey'='589816', 'ClientBrowser'='Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)'
2017-12-13 11:16:01 194.114.62.126 Request for sessionhandler.php Successfull - 'sessionKey'='589816', Next valid 'pageID'='65bc7c02-6171-450d-b153-3ea8b24db83e', 'ClientBrowser'='Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)'
2017-12-13 11:16:01 194.114.62.126 Request for           shop.php Successfull - 'sessionKey'='589816', 'pageID'='65bc7c02-6171-450d-b153-3ea8b24db83e', Next valid 'pageID'='1aeae3a5-81ab-4748-a4b2-0b8b56d2e2e9', 'ClientBrowser'='Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)' 
2017-12-13 11:16:04 194.114.62.126 Request for          index.php Successfull - 'sessionKey'='506239', 'ClientBrowser'='Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)'
2017-12-13 11:16:06 194.114.62.126 Request for           cart.php Successfull - 'sessionKey'='589816', 'pageID'='1aeae3a5-81ab-4748-a4b2-0b8b56d2e2e9', Next valid 'pageID'='0257d9a2-e65e-4192-be2e-d0250916583d', 'ClientBrowser'='Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)' - Added Cookies, new amount: 5
2017-12-13 11:16:09 194.114.62.126 Request for sessionhandler.php Successfull - 'sessionKey'='506239', Next valid 'pageID'='78fa9d36-2057-4ce8-9c07-3c5f135f6f46', 'ClientBrowser'='Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)'
2017-12-13 11:16:09 194.114.62.126 Request for           shop.php Successfull - 'sessionKey'='506239', 'pageID'='78fa9d36-2057-4ce8-9c07-3c5f135f6f46', Next valid 'pageID'='c4f71426-d852-45d2-859c-0738df54ee5a', 'ClientBrowser'='Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)' 
2017-12-13 11:16:11 194.114.62.126 Request for       checkout.php Successfull - 'sessionKey'='589816', 'pageID'='0257d9a2-e65e-4192-be2e-d0250916583d', Next valid 'pageID'='9173c481-9388-479e-bab3-e238a684a10b', 'ClientBrowser'='Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)' 
2017-12-13 11:16:14 194.114.62.126 Request for           cart.php Successfull - 'sessionKey'='506239', 'pageID'='c4f71426-d852-45d2-859c-0738df54ee5a', Next valid 'pageID'='7d5b8f00-35e9-4300-a752-dcffbc5e54fb', 'ClientBrowser'='Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)' - Added Cookies, new amount: 5
2017-12-13 11:16:19 194.114.62.126 Request for          index.php Successfull - 'sessionKey'='987169', 'ClientBrowser'='Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)'
2017-12-13 11:16:20 194.114.62.126 Request for       checkout.php Successfull - 'sessionKey'='506239', 'pageID'='7d5b8f00-35e9-4300-a752-dcffbc5e54fb', Next valid 'pageID'='a811f4d0-bdb4-48c3-92d6-4562b1b18fdf', 'ClientBrowser'='Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)' 
